분당,청량리,플랫폼 중앙,내리는 문 오른쪽,화장실 개찰구 안/밖,반대편 횡단 가능
분당,왕십리,플랫폼 중앙,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,서울숲,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,압구정로데오,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,강남구청,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,선정릉,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,선릉,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,한티,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,도곡,플랫폼 중앙,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,구룡,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,개포동,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,대모산입구,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,수서,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,복정,플랫폼 중앙,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,가천대,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,태평,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,모란,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 불가능
분당,야탑,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,이매,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,서현,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,수내,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,정자,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,미금,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,오리,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,죽전,플랫폼 중앙,내리는 문 양쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,보정,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,구성,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,신갈,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,기흥,플랫폼 중앙,내리는 문 양쪽,화장실 개찰구 안,반대편 횡단 가능
분당,상갈,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,청명,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,영통,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,망포,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 불가능
분당,매탄권선,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,수원시청,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 불가능
분당,매교,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
분당,수원,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 안/밖,반대편 횡단 가능
